DepartamentoCodigo,Departamento,MunicipioCodigo,Municipio,AÒo,IRCA,Nivel de riesgo,IRCAurbano,Nivel de riesgo urbano,IRCArural,Nivel de riesgo rural
91,Amazonas,#TODOS,#TODOS,"2,024",7.2,Bajo riesgo,7.6,Bajo riesgo,2.4,Sin riesgo
91,Amazonas,91001,Leticia,"2,024",4.9,Sin riesgo,4.9,Sin riesgo,ND,ND
91,Amazonas,91540,Puerto NariÒo,"2,024",14.1,Riesgo medio,18.5,Riesgo medio,2.4,Sin riesgo
5,Antioquia,#TODOS,#TODOS,"2,024",5.2,Bajo riesgo,2.4,Sin riesgo,15.3,Riesgo medio
5,Antioquia,5001,Medell√≠n,"2,024",1.3,Sin riesgo,0.7,Sin riesgo,3,Sin riesgo
5,Antioquia,5002,Abejorral,"2,024",0.4,Sin riesgo,0.4,Sin riesgo,ND,ND
5,Antioquia,5004,Abriaqu√≠,"2,024",7.2,Bajo riesgo,7.2,Bajo riesgo,ND,ND
5,Antioquia,5021,Alejandr√≠a,"2,024",3.2,Sin riesgo,3.2,Sin riesgo,ND,ND
5,Antioquia,5030,Amag√°,"2,024",40.6,Alto riesgo,0.4,Sin riesgo,62,Alto riesgo
5,Antioquia,5031,Amalfi,"2,024",0,Sin riesgo,0,Sin riesgo,ND,ND
5,Antioquia,5034,Andes,"2,024",1.6,Sin riesgo,0.3,Sin riesgo,8.4,Bajo riesgo
5,Antioquia,5036,Angel√≥polis,"2,024",19.7,Riesgo medio,0,Sin riesgo,61,Alto riesgo
5,Antioquia,5038,Angostura,"2,024",6.3,Bajo riesgo,0,Sin riesgo,16.3,Riesgo medio
5,Antioquia,5040,Anor√≠,"2,024",3.2,Sin riesgo,3.8,Sin riesgo,0.6,Sin riesgo
5,Antioquia,5042,Santa F√© de Antioquia,"2,024",6.3,Bajo riesgo,0.8,Sin riesgo,19.8,Riesgo medio
5,Antioquia,5044,Anz√°,"2,024",20.7,Riesgo medio,0.8,Sin riesgo,96.4,Inviable sanitariamente
5,Antioquia,5045,Apartad√≥,"2,024",2.9,Sin riesgo,0.4,Sin riesgo,13.8,Bajo riesgo
5,Antioquia,5051,Arboletes,"2,024",0,Sin riesgo,0,Sin riesgo,ND,ND
5,Antioquia,5055,Argelia,"2,024",0,Sin riesgo,0,Sin riesgo,0,Sin riesgo
5,Antioquia,5059,Armenia,"2,024",0.6,Sin riesgo,0.6,Sin riesgo,ND,ND
5,Antioquia,5079,Barbosa,"2,024",9.5,Bajo riesgo,0.1,Sin riesgo,49,Alto riesgo
5,Antioquia,5086,Belmira,"2,024",5.2,Bajo riesgo,0.8,Sin riesgo,38.5,Alto riesgo
5,Antioquia,5088,Bello,"2,024",0.2,Sin riesgo,0.2,Sin riesgo,ND,ND
5,Antioquia,5091,Betania,"2,024",11.2,Bajo riesgo,0,Sin riesgo,26.9,Riesgo medio
5,Antioquia,5093,Betulia,"2,024",5.5,Bajo riesgo,0.4,Sin riesgo,26.9,Riesgo medio
5,Antioquia,5101,Ciudad Bol√≠var,"2,024",2.6,Sin riesgo,1.6,Sin riesgo,42.7,Alto riesgo
5,Antioquia,5107,Brice√±o,"2,024",1.1,Sin riesgo,1.1,Sin riesgo,ND,ND
5,Antioquia,5113,Buritic√°,"2,024",0.3,Sin riesgo,0.3,Sin riesgo,ND,ND
5,Antioquia,5120,C√°ceres,"2,024",0,Sin riesgo,0,Sin riesgo,ND,ND
5,Antioquia,5125,Caicedo,"2,024",2.2,Sin riesgo,2.2,Sin riesgo,ND,ND
5,Antioquia,5129,Caldas,"2,024",3.7,Sin riesgo,2.2,Sin riesgo,57.6,Alto riesgo
5,Antioquia,5134,Campamento,"2,024",1.8,Sin riesgo,1.8,Sin riesgo,ND,ND
5,Antioquia,5138,Ca√±asgordas,"2,024",2.9,Sin riesgo,2.9,Sin riesgo,ND,ND
5,Antioquia,5142,Caracol√≠,"2,024",0.6,Sin riesgo,0.6,Sin riesgo,ND,ND
5,Antioquia,5145,Caramanta,"2,024",8.3,Bajo riesgo,1.1,Sin riesgo,89.4,Inviable sanitariamente
5,Antioquia,5147,Carepa,"2,024",1.4,Sin riesgo,0,Sin riesgo,32,Riesgo medio
5,Antioquia,5148,El Carmen de Viboral,"2,024",2.6,Sin riesgo,0.2,Sin riesgo,5.9,Bajo riesgo
5,Antioquia,5150,Carolina,"2,024",1.2,Sin riesgo,1.2,Sin riesgo,ND,ND
5,Antioquia,5154,Caucasia,"2,024",0.8,Sin riesgo,0.8,Sin riesgo,ND,ND
5,Antioquia,5172,Chigorod√≥,"2,024",0.8,Sin riesgo,0.8,Sin riesgo,ND,ND
5,Antioquia,5190,Cisneros,"2,024",57.3,Alto riesgo,57.3,Alto riesgo,ND,ND
5,Antioquia,5197,Cocorn√°,"2,024",17.7,Riesgo medio,4.8,Sin riesgo,29.3,Riesgo medio
5,Antioquia,5206,Concepci√≥n,"2,024",1.5,Sin riesgo,1.5,Sin riesgo,ND,ND
5,Antioquia,5209,Concordia,"2,024",0.6,Sin riesgo,0.6,Sin riesgo,ND,ND
5,Antioquia,5212,Copacabana,"2,024",7.1,Bajo riesgo,1.7,Sin riesgo,14,Bajo riesgo
5,Antioquia,5234,Dabeiba,"2,024",1,Sin riesgo,1,Sin riesgo,ND,ND
5,Antioquia,5237,Donmat√≠as,"2,024",5.4,Bajo riesgo,0.6,Sin riesgo,97.4,Inviable sanitariamente
5,Antioquia,5240,Eb√©jico,"2,024",9.1,Bajo riesgo,2.4,Sin riesgo,24.1,Riesgo medio
5,Antioquia,5250,El Bagre,"2,024",3.2,Sin riesgo,1.3,Sin riesgo,100,Inviable sanitariamente
5,Antioquia,5264,Entrerr√≠os,"2,024",13.9,Bajo riesgo,14.4,Riesgo medio,11.4,Bajo riesgo
5,Antioquia,5266,Envigado,"2,024",3.2,Sin riesgo,0.7,Sin riesgo,7.3,Bajo riesgo
5,Antioquia,5282,Fredonia,"2,024",0.7,Sin riesgo,0.9,Sin riesgo,0,Sin riesgo
5,Antioquia,5284,Frontino,"2,024",1.8,Sin riesgo,0.4,Sin riesgo,32.5,Riesgo medio
5,Antioquia,5306,Giraldo,"2,024",16.7,Riesgo medio,4.9,Sin riesgo,97.4,Inviable sanitariamente
5,Antioquia,5308,Girardota,"2,024",19.4,Riesgo medio,0.4,Sin riesgo,27.9,Riesgo medio
5,Antioquia,5310,G√≥mez Plata,"2,024",4.6,Sin riesgo,4.6,Sin riesgo,ND,ND
5,Antioquia,5313,Granada,"2,024",0,Sin riesgo,0,Sin riesgo,ND,ND
5,Antioquia,5315,Guadalupe,"2,024",0.9,Sin riesgo,0.9,Sin riesgo,0,Sin riesgo
5,Antioquia,5318,Guarne,"2,024",0.5,Sin riesgo,0.8,Sin riesgo,0.2,Sin riesgo
5,Antioquia,5321,Guatap√©,"2,024",1.8,Sin riesgo,1.9,Sin riesgo,0,Sin riesgo
5,Antioquia,5347,Heliconia,"2,024",6,Bajo riesgo,1.2,Sin riesgo,97.4,Inviable sanitariamente
5,Antioquia,5353,Hispania,"2,024",3.2,Sin riesgo,1.7,Sin riesgo,13.4,Bajo riesgo
5,Antioquia,5360,Itag√º√≠,"2,024",1.6,Sin riesgo,1,Sin riesgo,15.2,Riesgo medio
5,Antioquia,5361,Ituango,"2,024",0,Sin riesgo,0,Sin riesgo,ND,ND
5,Antioquia,5364,Jard√≠n,"2,024",0,Sin riesgo,0,Sin riesgo,0,Sin riesgo
5,Antioquia,5368,Jeric√≥,"2,024",1.1,Sin riesgo,0.4,Sin riesgo,13.3,Bajo riesgo
5,Antioquia,5376,La Ceja,"2,024",8.9,Bajo riesgo,0.3,Sin riesgo,38.1,Alto riesgo
5,Antioquia,5380,La Estrella,"2,024",2.2,Sin riesgo,2.6,Sin riesgo,1.5,Sin riesgo
5,Antioquia,5390,La Pintada,"2,024",3.1,Sin riesgo,3.1,Sin riesgo,ND,ND
5,Antioquia,5400,La Uni√≥n,"2,024",9.3,Bajo riesgo,0,Sin riesgo,25.2,Riesgo medio
5,Antioquia,5411,Liborina,"2,024",23.4,Riesgo medio,0,Sin riesgo,79.1,Alto riesgo
5,Antioquia,5425,Maceo,"2,024",8.1,Bajo riesgo,1.2,Sin riesgo,53.1,Alto riesgo
5,Antioquia,5440,Marinilla,"2,024",5.5,Bajo riesgo,0.1,Sin riesgo,6.2,Bajo riesgo
5,Antioquia,5467,Montebello,"2,024",16.3,Riesgo medio,16.3,Riesgo medio,ND,ND
5,Antioquia,5480,Mutat√°,"2,024",0.7,Sin riesgo,0.7,Sin riesgo,ND,ND
5,Antioquia,5483,NariÒo,"2,024",0.6,Sin riesgo,0.6,Sin riesgo,ND,ND
5,Antioquia,5490,Necocl√≠,"2,024",3.1,Sin riesgo,3.4,Sin riesgo,0,Sin riesgo
5,Antioquia,5495,Nech√≠,"2,024",1,Sin riesgo,1,Sin riesgo,ND,ND
5,Antioquia,5501,Olaya,"2,024",1.5,Sin riesgo,1.4,Sin riesgo,1.5,Sin riesgo
